[B-757-200][VQ-BTB][19.01.20]
Дата полета (день) [DAY][][0]
Дата полета (месяц) [MONTH][][0]
Дата полета (год) [YEAR][][0]
Приборная скорость (CAS) [CAS][уз][1]
Скорость путевая #1 [GS.1][уз][1]
Расход топлива лев. двигателя [FF.1][фунт/ч][0]
Расход топлива прав. двигателя [FF.2][фунт/ч][0]
Вес самолета (т) [GW.t][т][1]
Обжатие шасси [WOW]
Разбег #1 [Празб.1]
Разбег #2 [Празб.2]
Признак полета #1 [Пполет1]
Обороты N2 лев. и (или) прав.двиг. более 25% [N2>25]
Обороты N2 лев. и (или) прав.двиг. более 10% [N2>10]
Готовность выруливания #1 [ГТвыр.1]
Готовность выруливания #2 [ГТвыр.2]
Отрыв от ВПП на взлете [Потрыв]
Пробег после посадки [Ппробег]
Запуск лев.двигателя [S001]
Запуск прав.двигателя [S002]
Взлет [S003]

T         	 DAY	MONTH	YEAR	   CAS	  GS.1	   FF.1	   FF.2	  GW.t	WOW	Празб.1	Празб.2	Пполет1	N2>25	N2>10	ГТвыр.1	ГТвыр.2	Потрыв	Ппробег	S001	S002	S003
24842.9883	19.0	  1.0	20.0	  0.00	  3.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
24842.9883	19.0	  1.0	20.0	  0.00	  3.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
24842.9883	19.0	  1.0	20.0	241.50	  3.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24842.9883	19.0	  1.0	20.0	142.50	  3.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24843     	19.0	  1.0	20.0	  0.00	  2.36	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24844     	19.0	  1.0	20.0	  0.00	  2.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24845     	19.0	  1.0	20.0	241.50	  2.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24846     	19.0	  1.0	20.0	142.50	  2.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24847     	19.0	  1.0	20.0	  0.00	  2.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
24848     	19.0	  1.0	20.0	  0.00	  2.00	    0.0	    0.0	111.38	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
