[B-767-300][VP-BLG][20.01.20]
Дата полета (день) [День][][0]
Дата полета (месяц) [Месяц][][0]
Масса самолета [Масса][фунт][3]
Приборная скорость (CAS) [Vпр][уз][1]
Скорость путевая 1 (КВС) [Vпут.1][уз][1]
Расход топлива лев. двигателя [FF.1][фунт/ч][0]
Расход топлива прав. двигателя [FF.2][фунт/ч][0]
Нет обжатия шасси [AIR]
Разбег #1 [Празб.1]
Разбег #2 [Празб.2]
Признак полета #1 [Пполет1]
Обороты N2 прав.двигателя более 20% [N1.2>20]
Левый двигатель запущен, запускается [Праб.л]
Правый двигатель запущен, запускается [Праб.п]
Выруливание [Пвырул]
Руление на старт [Пстарт]
Отрыв от ВПП [Потрыв]
Взлет [Пвзлет]
Выруливание [S003]
Пробег [S011]
Выключение левого двигателя на земле [S012]
Выключение правого двигателя на земле [S013]

T         	День	Месяц	      Масса	   Vпр	Vпут.1	   FF.1	   FF.2	AIR	Празб.1	Празб.2	Пполет1	N1.2>20	Праб.л	Праб.п	Пвырул	Пстарт	Потрыв	Пвзлет	S003	S011	S012	S013
69168.4531	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69168.4531	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69169     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69170     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69171     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69172     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69173     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69174     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69175     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69176     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69177     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69178     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69179     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69180     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69181     	20.0	  1.0	349436.4375	  0.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69182     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69183     	20.0	  1.0	349436.4375	192.00	  2.00	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
69184     	20.0	  1.0	349436.4375	  0.00	  1.86	    0.0	    0.0	  0	      0	      0	      0	      0	     0	     0	     0	     0	     0	     0	   0	   0	   0	   0
