[B-757-200][VQ-BTR][21.11.19]
Дата полета (день) [DAY][][0]
Дата полета (месяц) [MONTH][][0]
Дата полета (год) [YEAR][][0]
Приборная скорость (CAS) [CAS][уз][1]
Скорость путевая #1 [GS.1][уз][1]
Расход топлива лев. двигателя [FF.1][фунт/ч][0]
Расход топлива прав. двигателя [FF.2][фунт/ч][0]
Вес самолета (т) [GW.t][т][1]
Обжатие шасси [WOW]
Разбег #1 [Празб.1]
Разбег #2 [Празб.2]
Признак полета #1 [Пполет1]
Обороты N2 лев. и (или) прав.двиг. более 25% [N2>25]
Обороты N2 лев. и (или) прав.двиг. более 10% [N2>10]
Готовность выруливания #1 [ГТвыр.1]
Готовность выруливания #2 [ГТвыр.2]
Отрыв от ВПП на взлете [Потрыв]
Пробег после посадки [Ппробег]
Запуск лев.двигателя [S001]
Запуск прав.двигателя [S002]
Взлет [S003]

T         	 DAY	MONTH	YEAR	   CAS	  GS.1	   FF.1	   FF.2	  GW.t	WOW	Празб.1	Празб.2	Пполет1	N2>25	N2>10	ГТвыр.1	ГТвыр.2	Потрыв	Ппробег	S001	S002	S003
58556.9883	 0.0	  1.0	19.0	  0.00	  0.00	  800.0	  960.0	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
58556.9883	 0.0	  1.0	19.0	  0.00	  0.00	   34.4	  930.8	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
58560.4935	 0.0	  0.9	19.0	  0.00	  0.00	    0.0	  852.1	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
58859.347 	 0.0	  0.7	19.0	241.50	  0.00	    0.0	  800.0	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
59158.2005	 0.0	  0.6	19.0	303.50	  0.00	    0.0	  678.1	110.48	  0	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
59457.054 	 0.0	  0.5	19.0	175.50	  0.00	    0.0	  411.5	110.48	  0	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
59755.9075	 0.0	  0.4	19.0	 47.50	  0.00	    0.0	  144.8	110.48	  0	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
60054.7611	 0.0	  0.2	19.0	241.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
60353.6146	 0.0	  0.1	19.0	142.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
60652.4681	 0.0	  0.0	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
60958.3875	 0.8	  0.4	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64549.9706	 1.5	  0.8	19.0	241.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64550.9559	 2.3	  1.2	19.0	142.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64551.9416	 3.0	  1.6	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64552.9563	 3.8	  2.0	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64554     	 4.5	  2.4	19.0	241.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64555     	 5.3	  2.8	19.0	142.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64556     	 6.0	  3.1	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64556.9999	 6.8	  3.5	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64557.9852	 7.5	  3.9	19.0	241.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64558.9706	 8.3	  4.3	19.0	142.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64559.9559	 9.0	  4.7	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64560.9416	 9.8	  5.1	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64561.9563	10.5	  5.5	19.0	241.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64562.9709	11.3	  5.9	19.0	142.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
64563.9856	12.0	  6.3	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
64565     	12.8	  6.7	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
64566     	13.5	  7.1	19.0	241.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
64567     	14.3	  7.5	19.0	142.50	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
64568     	15.0	  7.9	19.0	  0.00	  0.00	    0.0	    0.0	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
64569     	15.8	  8.3	19.0	  0.00	  0.00	    0.0	  263.3	110.48	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
64570     	16.5	  8.6	19.0	241.50	  0.00	    0.0	  561.4	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64571     	17.3	  9.0	19.0	142.50	  0.00	    0.0	  529.4	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64572     	18.0	  9.4	19.0	  0.00	  0.00	    0.0	  497.4	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64573     	18.8	  9.8	19.0	  0.00	  0.00	    0.0	  465.4	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64574     	19.5	 10.2	19.0	241.50	  0.00	    0.0	  448.0	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64575     	20.3	 10.6	19.0	142.50	  0.00	    0.0	  448.0	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64576     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  433.4	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64577     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  430.6	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64578     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  477.3	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64579     	21.0	 11.0	19.0	142.50	  0.00	    0.0	  541.3	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64580     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  605.3	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64581     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  683.9	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64582     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  794.5	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64583     	21.0	 11.0	19.0	142.50	  0.00	    0.0	  907.9	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64584     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	 1033.1	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64585     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	 1178.5	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64586     	21.0	 11.0	19.0	241.50	  0.00	    0.0	 1262.6	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64587     	21.0	 11.0	19.0	142.50	  0.00	    0.0	 1265.4	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64588     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	 1218.8	110.48	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
64589     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	 1140.1	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   1	   0
64590     	21.0	 11.0	19.0	241.50	  0.00	    0.0	 1058.8	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   1	   0
64591     	21.0	 11.0	19.0	142.50	  0.00	    0.0	 1009.4	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   1	   0
64592     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  977.4	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   1	   0
64593     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  974.6	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   1	   0
64594     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   1	   0
64595     	21.0	 11.0	19.0	142.50	  0.00	    0.0	 1006.6	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64596     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	 1024.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64597     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	 1009.4	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64598     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64599     	21.0	 11.0	19.0	142.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64600     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64601     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64602     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64603     	21.0	 11.0	19.0	142.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64604     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64605     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64606     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64607     	21.0	 11.0	19.0	142.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64608     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  977.4	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64609     	21.0	 11.0	19.0	  0.00	  0.00	    0.0	  960.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64610     	21.0	 11.0	19.0	241.50	  0.00	    0.0	  974.6	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
64611     	21.0	 11.0	19.0	142.50	  0.00	    0.0	  992.0	110.48	  1	      0	      0	      0	    1	    1	      0	      0	     0	      0	   0	   0	   0
