[B-757-200][VQ-BTR][22.11.19]
Дата полета (день) [DAY][][0]
Дата полета (месяц) [MONTH][][0]
Дата полета (год) [YEAR][][0]
Приборная скорость (CAS) [CAS][уз][1]
Скорость путевая #1 [GS.1][уз][1]
Расход топлива лев. двигателя [FF.1][фунт/ч][0]
Расход топлива прав. двигателя [FF.2][фунт/ч][0]
Вес самолета (т) [GW.t][т][1]
Обжатие шасси [WOW]
Разбег #1 [Празб.1]
Разбег #2 [Празб.2]
Признак полета #1 [Пполет1]
Обороты N2 лев. и (или) прав.двиг. более 25% [N2>25]
Обороты N2 лев. и (или) прав.двиг. более 10% [N2>10]
Готовность выруливания #1 [ГТвыр.1]
Готовность выруливания #2 [ГТвыр.2]
Отрыв от ВПП на взлете [Потрыв]
Пробег после посадки [Ппробег]
Запуск лев.двигателя [S001]
Запуск прав.двигателя [S002]
Взлет [S003]

T         	 DAY	MONTH	YEAR	   CAS	  GS.1	   FF.1	   FF.2	  GW.t	WOW	Празб.1	Празб.2	Пполет1	N2>25	N2>10	ГТвыр.1	ГТвыр.2	Потрыв	Ппробег	S001	S002	S003
11301.9883	22.0	 11.0	19.0	  0.00	  0.00	  768.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
11301.9883	22.0	 11.0	19.0	241.50	  1.27	   33.0	    0.0	115.09	  0	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   0	   0
11302     	22.0	 11.0	19.0	142.50	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11303     	22.0	 11.0	19.0	  0.00	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11304     	22.0	 11.0	19.0	  0.00	  2.64	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11305     	22.0	 11.0	19.0	241.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11306     	22.0	 11.0	19.0	142.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11307     	22.0	 11.0	19.0	  0.00	  2.36	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11308     	22.0	 11.0	19.0	  0.00	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11309     	22.0	 11.0	19.0	241.50	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11310     	22.0	 11.0	19.0	142.50	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11311     	22.0	 11.0	19.0	  0.00	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11312     	22.0	 11.0	19.0	  0.00	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11313     	22.0	 11.0	19.0	241.50	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11314     	22.0	 11.0	19.0	142.50	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11315     	22.0	 11.0	19.0	  0.00	  2.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11316     	22.0	 11.0	19.0	  0.00	  2.64	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11317     	22.0	 11.0	19.0	241.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11318     	22.0	 11.0	19.0	142.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11319     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   0	   0
11320     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
11321     	22.0	 11.0	19.0	241.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
11322     	22.0	 11.0	19.0	142.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
11323     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
11324     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
11325     	22.0	 11.0	19.0	241.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    0	      0	      0	     0	      0	   0	   1	   0
11326     	22.0	 11.0	19.0	142.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11327     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11328     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11329     	22.0	 11.0	19.0	241.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11330     	22.0	 11.0	19.0	142.50	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11331     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	    0.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11332     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	  292.5	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11333     	22.0	 11.0	19.0	241.50	  3.00	    0.0	  625.4	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11334     	22.0	 11.0	19.0	142.50	  3.00	    0.0	  578.8	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11335     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	  529.4	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11336     	22.0	 11.0	19.0	  0.00	  3.00	    0.0	  497.4	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11337     	22.0	 11.0	19.0	241.50	  3.00	    0.0	  480.0	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11337.9999	22.0	 11.0	19.0	142.50	  3.00	    0.0	  494.6	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11338.9852	22.0	 11.0	19.0	  0.00	  3.00	    0.0	  526.6	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11339.9706	22.0	 11.0	19.0	  0.00	  3.00	    0.0	  573.3	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11340.9559	22.0	 11.0	19.0	241.50	  3.00	    0.0	  637.3	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
11341.9416	22.0	 11.0	19.0	142.50	  3.00	    0.0	  715.9	115.09	  1	      0	      0	      0	    0	    1	      0	      0	     0	      0	   0	   1	   0
